Year,Station Number,City,Location,Type,Valid Hour,10th Percentile,30th Percentile,50th Percentile,70th Percentile,90th Percentile,99 Percentile,Mean,1-Hour Maximum,24-Hour  Maximum,No. of Times Above 1-Hour Criterion,
2020,15026,London,42 St. Julien St.,A,8648,11,22,28,34,42,60,27.7,77,49.6,0,
2020,16015,Port Stanley,"43665 Dexter Line, Elgin Water T. Plant",A,8669,17,25,31,36,44,61,30.9,76,53.3,0,
2020,18007,Tiverton,4th Concession/Bruce Rd. 23,A,8510,18,26,31,35,41,58,30.5,75,52.1,0,
2020,21005,Brantford,324 Grand River Ave.,A,8716,12,22,28,34,43,60,28.0,74,49.3,0,
2020,26060,Kitchener,West Ave./Homewood Ave.,A,8697,14,22,28,33,40,57,27.7,74,46.0,0,
2020,27067,St. Catharines,"Argyle Cres., Pump Stn.",A,8730,15,25,30,36,45,60,30.2,75,54.3,0,
2020,28028,Guelph,Exhibition St./Clark St. W.,A,8711,13,22,27,32,41,59,27.0,70,48.5,0,
2020,29000,Hamilton Downtown,Elgin St./Kelly St.,A,8752,11,20,26,32,41,58,26.3,77,52.4,0,
2020,29118,Hamilton West,Main St. W./Hwy 403,A,8689,8,19,26,31,41,58,25.2,76,49.7,0,
2020,29214,Hamilton Mountain,250 Fennell Ave. W.,A,8742,14,23,29,35,44,61,29.3,79,53.3,0,
2020,31129,Toronto Downtown,55 John St.,A,8632,10,18,24,29,38,57,24.2,76,48.3,0,
2020,33003,Toronto East,Kennedy Rd./Lawrence Ave. E.,A,8717,11,20,26,32,40,59,26.1,77,50.6,0,
2020,34021,Toronto North,"4905 Dufferin St., ECCC",A,8704,9,19,26,32,41,62,26.0,95,52.2,9,
2020,35125,Toronto West,125 Resources Rd.,A,8663,6,16,23,30,39,58,23.4,81,47.5,1,
2020,44008,Burlington,North Shore Blvd. E./Lakeshore Rd.,A,8757,12,22,28,34,43,63,28.3,86,51.1,2,
2020,44017,Oakville,"Eighth Line/Glenashton Dr., Halton Res.",A,8739,13,22,28,33,41,60,28.0,81,50.8,1,
2020,44029,Milton,1120 Main St. E.,A,8514,9,21,27,33,42,61,26.8,77,49.5,0,
2020,45027,Oshawa,"Brittania Ave. W., EP Taylor Stables",A,8754,9,20,27,33,40,62,26.4,88,47.0,4,
2020,46090,Brampton,109 McLaughlin Rd. S.,A,8692,12,22,29,35,43,62,28.4,83,53.2,3,
2020,46108,Mississauga,"3359 Mississauga Rd. N., U of T Campus",A,8720,8,20,26,32,40,57,25.6,80,47.4,0,
2020,47045,Barrie,83 Perry St.,A,8750,10,20,26,32,39,55,25.9,70,48.3,0,
2020,48006,Newmarket,Eagle St. W./McCaffrey Rd.,A,8722,14,23,29,34,41,60,28.5,87,54.2,3,
2020,49005,Parry Sound,7 Bay St.,A,8717,16,25,30,36,43,57,29.9,73,49.9,0,
2020,49010,Dorset,1026 Bellwood Acres Rd.,A,8694,10,21,28,34,42,53,27.1,66,43.5,0,
2020,51001,Ottawa Downtown,Rideau St./Wurtemburg St.,A,8770,10,19,26,31,39,53,25.2,64,50.9,0,
2020,51010,Petawawa,Petawawa Research Forest Facility,A,8776,11,21,28,34,41,51,26.9,63,45.5,0,
2020,52023,Kingston,23 Beechgrove Lane,A,8715,17,25,30,35,43,58,30.1,72,53.5,0,
2020,54012,Belleville,"2 Sidney St., Water Treatment Plant",A,8744,15,24,30,35,43,61,29.7,81,52.8,1,
2020,56051,Cornwall,Bedford St./3rd St. W.,A,8718,12,21,27,32,40,51,26.4,62,47.8,0,
2020,59006,Peterborough,10 Hospital Dr.,A,8351,14,22,28,33,40,54,27.6,87,49.0,2,
2020,63203,Thunder Bay,421 James St. S.,A,8756,8,18,24,29,36,44,22.9,56,44.0,0,
2020,71078,Sault Ste. Marie,Sault College,A,8756,14,23,29,34,40,57,28.2,77,58.3,0,
2020,75010,North Bay,"Chippewa St. W., Dept. National Defence",A,8764,10,21,27,32,40,52,26.2,74,48.8,0,
2020,77233,Sudbury,155 Elm St.,A,8698,10,19,25,31,38,51,24.8,62,52.6,0,
2019,12008,Windsor Downtown,467 University Ave. W.,A,8512,11,20,26,32,42,60,26.6,82,55.5,1,
