 Country ,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 Bolivia (Plurinational State of) ,1010101010.0,1094276094.0,1278676194.0,1299350325.0,2148925537.0,2398800600.0,2748625687.0,2762917257.0,3017959618.0,3272704506.0,3519380952.0,3888016632.0,3948271824.0,3919818576.0,4036804637.0,4124261399.0,4102521474.0,4313329094.0,4597612302.0,4715974510.0,4867583881.0,5343262434.0,5643867693.0,5734706239.0,5981149294.0,6715147012.0,7396948369.0,7925736316.0,8497494131.0,8285063968.0,8397855942.0,8141517335.0,7905485150.0,8082399992.0,8773156956.0,9549120156.0,11451845965.0,13120084507.0,16674309556.0,17340028490.0,19649786223.0,23963162972.0,27084497483.0,30659338880.0,32996188013.0,33000198248.0,33941126200.0,37508683068.0,40287647931.0,40895322844.0,36629843805.0,40408208528.0
 Botswana ,66797331.0,88112318.0,114693404.0,169433503.0,235512893.0,274091111.0,296963130.0,382830782.0,455912766.0,594573127.0,852423393.0,974347887.0,853465104.0,926393354.0,969842620.0,837591558.0,1119259574.0,1541996035.0,1787998380.0,3020185206.0,3721284135.0,3867409908.0,4069182434.0,4082613650.0,4259258811.0,4730599691.0,4847757704.0,5020265168.0,4790481509.0,5484263050.0,5788311645.0,5489649947.0,5415178142.0,7446280137.0,8841053979.0,9759466367.0,9908505883.0,10567243932.0,10730824386.0,10118463554.0,12637281065.0,15110637088.0,13946492223.0,14271735712.0,15470088104.0,13530730351.0,15082640966.0,16105153350.0,17031943706.0,16695976769.0,14930018498.0,17614859700.0
 Brazil ,35380549910.0,39518051538.0,50863478787.0,72011951228.0,92322925713.0,109000000000.0,128000000000.0,149000000000.0,170000000000.0,187000000000.0,176000000000.0,224000000000.0,246000000000.0,173000000000.0,176000000000.0,188000000000.0,226000000000.0,248000000000.0,277000000000.0,377000000000.0,409000000000.0,380000000000.0,364000000000.0,409000000000.0,583000000000.0,782000000000.0,854000000000.0,886000000000.0,858000000000.0,597000000000.0,655000000000.0,560000000000.0,510000000000.0,558000000000.0,669000000000.0,892000000000.0,1110000000000.0,1400000000000.0,1700000000000.0,1670000000000.0,2210000000000.0,2620000000000.0,2470000000000.0,2470000000000.0,2460000000000.0,1800000000000.0,1800000000000.0,2060000000000.0,1920000000000.0,1880000000000.0,1450000000000.0,1610000000000.0
 British Virgin Islands ,11613756.0,10027579.0,10468912.0,11850445.0,14168535.0,15565361.0,16968013.0,17542620.0,20377554.0,25420691.0,31729006.0,34692800.0,40837110.0,46020823.0,50548517.0,52645431.0,57296129.0,68331286.0,76812660.0,91491059.0,119887470.0,156768160.0,201188472.0,269881679.0,350699906.0,453368309.0,512751563.0,596116517.0,686333384.0,768556352.0,857631234.0,925008388.0,897600732.0,813093793.0,851921306.0,993527528.0,1095872135.0,1195602699.0,1193809259.0,1072790494.0,1114130000.0,1070640000.0,1113690000.0,1129110000.0,1199680000.0,1279140000.0,1403030000.0,1306770000.0,1381870000.0,1438842891.0,1492117304.0,1538792087.0
 Brunei Darussalam ,224919922.0,248088785.0,340148570.0,543960286.0,1348411999.0,1467369244.0,1787309388.0,2176266686.0,2438644065.0,3521564851.0,6190491610.0,5483907877.0,5355761849.0,4828789013.0,4750818244.0,4425493575.0,2698456869.0,3099730602.0,2949412947.0,3308238383.0,3900702409.0,4101104064.0,4636736503.0,4549431934.0,4529039210.0,5245421237.0,5668184453.0,5758127022.0,4487538132.0,5096498703.0,6649709092.0,6206200903.0,6474732994.0,7265920303.0,8722767582.0,10561292509.0,12709854523.0,13570654027.0,15948702092.0,11892307477.0,13707116269.0,18524790774.0,19048443088.0,18094152875.0,17097795711.0,12930298314.0,11400266878.0,12128166606.0,13566912772.0,13469249838.0,12005768518.0,14006497000.0
 Bulgaria ,9000000008.0,8897435905.0,10407407407.0,12408510650.0,13494845375.0,11908333333.0,12625000000.0,12908333333.0,13981716418.0,9397603640.0,10831602744.0,12437492605.0,13514214895.0,14525274247.0,15560444454.0,16483295241.0,17522771473.0,19043229447.0,21872706553.0,21982396270.0,20726027397.0,8402104592.0,9475815848.0,11930907234.0,10691890604.0,18991873953.0,12294768638.0,11316151824.0,15031030614.0,13637076500.0,13245999694.0,14183449354.0,16403038072.0,21144955710.0,26157746657.0,29868626122.0,34380520758.0,44403554809.0,54438256447.0,52023838439.0,50682362497.0,57679917049.0,54299070333.0,55811387337.0,57082655934.0,50782022217.0,53952631207.0,59200845118.0,66361879856.0,68914212120.0,70238920179.0,84057565267.0
 Burkina Faso ,506221626.0,516750463.0,659833646.0,763570493.0,841032770.0,1000485110.0,959332056.0,1159127896.0,1493803723.0,2004498550.0,2174243869.0,2014886386.0,1848063018.0,1688525551.0,1509464968.0,1764127837.0,2313869525.0,2692719482.0,2972626837.0,2972068201.0,3524059275.0,3562226002.0,3814199468.0,3635622608.0,2153638952.0,2703731173.0,2938972186.0,2781167908.0,3187074925.0,3388323725.0,2960997705.0,3187582094.0,3605329529.0,4730140672.0,5441918173.0,6143908702.0,6541603731.0,7615650002.0,9413334399.0,9412811573.0,10099765628.0,12064487597.0,12561733645.0,13440479418.0,13924470428.0,11823205340.0,12833357982.0,14106957348.0,15890066210.0,16178161666.0,17933606213.0,19737616003.0
 Burundi ,245436571.0,252516571.0,246354286.0,305491647.0,346375873.0,414873651.0,457333333.0,543241111.0,613618889.0,792834444.0,951188889.0,993144444.0,1045488889.0,1106980581.0,1006196963.0,1171150233.0,1233604831.0,1162071426.0,1089119983.0,1131605042.0,1148319883.0,1167401158.0,1086803177.0,974857896.0,1068821056.0,1000430418.0,868960847.0,972854234.0,893694807.0,808149939.0,709113237.0,662345748.0,628101556.0,595481332.0,679885548.0,1117109382.0,1273375078.0,1356198462.0,1611836700.0,1775497472.0,2032137629.0,2235809707.0,2327401670.0,2451625280.0,2705829235.0,2810531640.0,2930086948.0,3297826848.0,3317319375.0,3368533752.0,3615133759.0,3899747783.0
 Cabo Verde ,72940654.0,82283945.0,93068364.0,114858297.0,115073502.0,133965392.0,125012070.0,117274894.0,134990619.0,144731713.0,161773669.0,158625012.0,159961097.0,157522539.0,150187553.0,156687310.0,216904365.0,268566664.0,301777902.0,305200910.0,350332099.0,365188372.0,407654368.0,411174923.0,465192180.0,557953517.0,574164877.0,561064843.0,597834851.0,678758984.0,613244426.0,640308145.0,706213173.0,925693193.0,1051195104.0,1105394035.0,1259964147.0,1513937453.0,1789327998.0,1711815540.0,1664316428.0,1864823991.0,1751884566.0,1850950062.0,1858125075.0,1596152976.0,1663011131.0,1769786532.0,1966501562.0,1981846171.0,1703697924.0,1936174201.0
 Cambodia ,767721807.0,766341638.0,756003159.0,646365211.0,667662029.0,719660124.0,759265801.0,688085091.0,736483832.0,695267723.0,715101203.0,783086770.0,831467965.0,902340969.0,981004524.0,1059291836.0,1121697517.0,1396925777.0,1680385473.0,1741743758.0,1697719548.0,2248213477.0,2393653451.0,2433856452.0,2676188979.0,3309356001.0,3506718126.0,3443471826.0,3130078523.0,3512777995.0,3666637567.0,3991795046.0,4289402492.0,4664899329.0,5337889823.0,6293048259.0,7274501919.0,8639240662.0,10351917780.0,10401844097.0,11242278819.0,12829542935.0,14038383337.0,15449624434.0,16777808050.0,18049953906.0,20016756231.0,22177200626.0,24571753582.0,27097963820.0,25291251310.0,26669490942.0
